# Annotated with Bakta
# Software: v1.11.3
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
chromosome	cds	236643	236981	+	LFFONA_00369	hdeB	acid-activated periplasmic chaperone HdeB	BlastRules:WP_001298717, GO:0042597, GO:0051082, GO:1990451, KEGG:K19778, RefSeq:WP_000540805.1, SO:0001217, UniParc:UPI0000163A2A, UniRef:UniRef100_P0AET2, UniRef:UniRef50_P0AET2, UniRef:UniRef90_P0AET2
chromosome	cds	237117	237692	+	LFFONA_00370	yhiD	MgtC/SapB family protein	GO:0005886, KEGG:K07507, SO:0001217, UniParc:UPI00005EF4DB, UniRef:UniRef100_A0A023KPY2, UniRef:UniRef50_P0AFV3, UniRef:UniRef90_P0AFV3
chromosome	cds	237744	238514	-	LFFONA_00371	chuV	ATP-binding hydrophilic protein ChuV	EC:7.6.2.-, GO:0005524, GO:0005886, GO:0016887, RefSeq:WP_000622316.1, SO:0001217, UniParc:UPI00000439ED, UniRef:UniRef100_Q8FCJ1, UniRef:UniRef50_Q8FCJ1, UniRef:UniRef90_Q8FCJ1, VFDB:VFC0272, VFDB:VFG044172
chromosome	cds	238511	239467	-	LFFONA_00372	shuU	heme ABC transporter permease ShuU/ChuU	BlastRules:WP_000910402, COG:COG0609, COG:P, SO:0001217, UniParc:UPI00000439EC, UniRef:UniRef100_A0AAF0NJP9, UniRef:UniRef50_A0A8S0FHI1, UniRef:UniRef90_A0A7U9H5L5
chromosome	cds	239552	240175	-	LFFONA_00373	chuY	ChuY	COG:COG0702, COG:R, RefSeq:WP_000189357.1, SO:0001217, UniParc:UPI00005EF4DC, UniRef:UniRef100_A0A0G9FT25, UniRef:UniRef50_Q32AY1, UniRef:UniRef90_Q32AY1, VFDB:VFC0272, VFDB:VFG000921
chromosome	cds	240175	240669	-	LFFONA_00374	chuX	putative heme-binding protein ChuX	COG:COG3721, COG:P, RefSeq:WP_000020034.1, SO:0001217, UniParc:UPI00000439EA, UniRef:UniRef100_A0A061K650, UniRef:UniRef50_Q32AY0, UniRef:UniRef90_Q32AY0, VFDB:VFC0272, VFDB:VFG000920
chromosome	cds	240682	242019	-	LFFONA_00375	chuW	Putative oxygen independent coproporphyrinogen III oxidase	EC:2.1.1.342, GO:0003824, GO:0005737, GO:0006779, GO:0008168, GO:0032259, GO:0046872, GO:0051536, GO:0051539, KEGG:K21936, RefSeq:WP_001095620.1, SO:0001217, UniParc:UPI00005EF4DD, UniRef:UniRef100_A0A152LC13, UniRef:UniRef50_A0A384LP51, UniRef:UniRef90_A0A384LP51, VFDB:VFC0272, VFDB:VFG000919
chromosome	cds	242039	242953	-	LFFONA_00376	chuT	periplasmic heme-binding protein ChuT	COG:COG4558, COG:P, RefSeq:WP_001535654.1, SO:0001217, UniParc:UPI0002A30C5F, UniRef:UniRef100_UPI000F0AB38E, UniRef:UniRef50_A8AJV0, UniRef:UniRef90_Q32AX9, VFDB:VFC0272, VFDB:VFG000918
chromosome	ncRNA-region	243608	243639	+			shuA/chuA 5' UTR thermoregulator	RFAM:RF02597, SO:0002168
chromosome	cds	243637	245619	+	LFFONA_00377	chuA	Outer membrane heme/hemoglobin receptor ChuA	KEGG:K16087, RefSeq:WP_001468055.1, SO:0001217, UniParc:UPI000281D80B, UniRef:UniRef100_UPI000281D80B, UniRef:UniRef50_A0A1M2J6K8, UniRef:UniRef90_A0A1M2J6K8, VFDB:VFC0272, VFDB:VFG000917
chromosome	cds	245668	246696	+	LFFONA_00378	chuS	heme oxygenase ChuS	COG:COG3720, COG:P, RefSeq:WP_001017200.1, SO:0001217, UniParc:UPI0000D50D4D, UniRef:UniRef100_A0A0D8W0X8, UniRef:UniRef50_Q56990, UniRef:UniRef90_A0A2B7MBB7, VFDB:VFC0272, VFDB:VFG000916
chromosome	cds	246753	247283	-	LFFONA_00379	dctR	HTH-type transcriptional regulator DctR	COG:COG2197, COG:TK, GO:0003677, GO:0006355, KEGG:K21901, RefSeq:WP_000478622.1, SO:0001217, UniParc:UPI000281D50A, UniRef:UniRef100_UPI00113FDFAB, UniRef:UniRef50_P37195, UniRef:UniRef90_P37195
chromosome	cds	247436	248002	-	LFFONA_00380	slp	outer membrane lipoprotein Slp	BlastRules:WP_001057453, RefSeq:WP_001057453.1, SO:0001217, UniParc:UPI0000226465, UniRef:UniRef100_A0A2X7RH11, UniRef:UniRef50_P37194, UniRef:UniRef90_A0A135PVS0
chromosome	cds	248396	248569	-	LFFONA_00381	yhiS	YhiS	SO:0001217, UniParc:UPI0002A25892, UniRef:UniRef100_A0A2X1K741, UniRef:UniRef50_A0A0E2L0C5, UniRef:UniRef90_A0A0E2L0C5
chromosome	cds	249186	249611	-	LFFONA_00382	arsC	glutaredoxin-dependent arsenate reductase	EC:1.20.4.1, GO:0008794, KEGG:K00537, NCBIProtein:AAA21096.1, RefSeq:WP_000065791.1, SO:0001217, UniParc:UPI00000DF1BB, UniRef:UniRef100_A0A0D6GAB1, UniRef:UniRef50_P08692, UniRef:UniRef90_B7LSY7
chromosome	cds	249703	249918	-	LFFONA_00383		hypothetical protein	SO:0001217, UniParc:UPI0002A22CD7, UniRef:UniRef100_A0A2X1K5V9, UniRef:UniRef50_A0A2K1HK41, UniRef:UniRef90_A0A2K1HK41
chromosome	ncRNA	249786	249870	-	LFFONA_00384	agrB	ArsR-gov region gene B	RFAM:RF02891, SO:0000655
chromosome	cds	250083	251435	-	LFFONA_00385	gorA	glutathione-disulfide reductase	COG:C, COG:COG1249, EC:1.8.1.7, GO:0004362, GO:0005829, GO:0006749, GO:0016020, GO:0034599, GO:0045454, GO:0050660, GO:0050661, GO:0071949, KEGG:K00383, RefSeq:WP_000160795.1, SO:0001217, UniParc:UPI00000DF1B9, UniRef:UniRef100_A0A0G9FUS4, UniRef:UniRef50_P06715, UniRef:UniRef90_P06715
chromosome	cds	251507	252349	-	LFFONA_00386	rlmJ	23S rRNA (adenine(2030)-N(6))-methyltransferase	BlastRules:WP_001300574, COG:COG2961, COG:J, EC:2.1.1.266, KEGG:K07115, RefSeq:WP_001468056.1, SO:0001217, UniParc:UPI000281D564, UniRef:UniRef100_A0A2X1M7T3, UniRef:UniRef50_P37634, UniRef:UniRef90_Q7CPJ1
chromosome	cds	252552	254594	+	LFFONA_00387	prlC	oligopeptidase A	COG:COG0339, COG:O, EC:3.4.24.70, GO:0004222, GO:0005737, GO:0006508, GO:0006518, GO:0046872, KEGG:K01414, RefSeq:WP_001312164.1, SO:0001217, UniParc:UPI0000E451C8, UniRef:UniRef100_A0A237F7M7, UniRef:UniRef50_P27298, UniRef:UniRef90_P27298
chromosome	cds	254602	255354	+	LFFONA_00388	rsmJ	16S rRNA (guanine(1516)-N(2))-methyltransferase RsmJ	EC:2.1.1.242, GO:0005737, GO:0008990, GO:0031167, KEGG:K15984, RefSeq:WP_000686607.1, SO:0001217, UniParc:UPI0000470EAC, UniRef:UniRef100_B7MEJ2, UniRef:UniRef50_P68567, UniRef:UniRef90_P68567
chromosome	cds	255403	256872	-	LFFONA_00389	dtpB	dipeptide/tripeptide permease DtpB	GO:0005886, GO:0015031, GO:0015333, GO:0042937, GO:0071916, RefSeq:WP_001098655.1, SO:0001217, UniParc:UPI0001F66673, UniRef:UniRef100_UPI002AF6B133, UniRef:UniRef50_P36837, UniRef:UniRef90_P36837
chromosome	cds	257189	257623	-	LFFONA_00390	uspA	universal stress protein UspA	COG:COG0589, COG:T, GO:0005737, RefSeq:WP_000323571.1, SO:0001217, UniParc:UPI0000000AA0, UniRef:UniRef100_P0AED0, UniRef:UniRef50_P0AED0, UniRef:UniRef90_P0AED0
chromosome	cds	258014	258349	+	LFFONA_00391	uspB	universal stress protein UspB	GO:0005886, KEGG:K06144, RefSeq:WP_000626187.1, SO:0001217, UniParc:UPI0000137E5A, UniRef:UniRef100_P0A8S5, UniRef:UniRef50_P0A8S5, UniRef:UniRef90_P0A8S5
chromosome	cds	258420	259919	-	LFFONA_00392	pitA	inorganic phosphate transporter PitA	COG:COG0306, COG:P, GO:0005315, GO:0005385, GO:0005886, GO:0006817, GO:0010960, GO:0015295, GO:0015654, GO:0015710, GO:0016020, GO:0035435, GO:1901683, GO:1901684, KEGG:K16322, RefSeq:WP_000902780.1, SO:0001217, UniParc:UPI0000131B2A, UniRef:UniRef100_P0AFJ7, UniRef:UniRef50_P0AFJ7, UniRef:UniRef90_P0AFJ7
chromosome	cds	260151	261344	+	LFFONA_00393	yhiN	Uncharacterized protein YhiN	COG:COG2081, COG:R, GO:0005829, RefSeq:WP_000439162.1, SO:0001217, UniParc:UPI000281D565, UniRef:UniRef100_UPI000281D565, UniRef:UniRef50_P37631, UniRef:UniRef90_P37631
chromosome	cds	261431	262495	-	LFFONA_00394	yhiM	Inner membrane protein yhiM	SO:0001217, UniParc:UPI0001E17A8A, UniRef:UniRef100_A0A0J2D5U5, UniRef:UniRef50_P37630, UniRef:UniRef90_A0A0H3EQ48
chromosome	cds	263217	264284	+	LFFONA_00395	yhiI	Uncharacterized protein YhiI	GO:0005886, RefSeq:WP_000361462.1, SO:0001217, UniParc:UPI000281D566, UniRef:UniRef100_UPI00202998AF, UniRef:UniRef50_P37626, UniRef:UniRef90_P37626
chromosome	cds	264281	267016	+	LFFONA_00396	rbbA	ribosome-associated ATPase/putative transporter RbbA	BlastRules:WP_000149156, GO:0005524, GO:0005886, GO:0016020, GO:0016887, GO:0022627, GO:0042626, GO:0043024, GO:0043190, GO:0045727, GO:0055085, GO:0060187, GO:0140359, RefSeq:WP_000149119.1, SO:0001217, UniParc:UPI000281D567, UniRef:UniRef100_UPI000281D567, UniRef:UniRef50_P37624, UniRef:UniRef90_P37624
chromosome	cds	267016	268140	+	LFFONA_00397		ABC-type multidrug transport system, permease component	RefSeq:WP_001314210.1, SO:0001217, UniParc:UPI00015C4DD5, UniRef:UniRef100_A0A066QZ80, UniRef:UniRef50_P37624, UniRef:UniRef90_W1ERC1
chromosome	cds	268249	269100	-	LFFONA_00398		class II aldolase	EC:4.1.2.13, KEGG:K01624, RefSeq:WP_001131791.1, SO:0001217, UniParc:UPI00000DF1AE, UniRef:UniRef100_A0A0D6GAT1, UniRef:UniRef50_A0A7D8EI49, UniRef:UniRef90_A0A229ETY8
chromosome	cds	269132	269401	-	LFFONA_00399		Phosphocarrier protein HPr	RefSeq:WP_000949581.1, SO:0001217, UniParc:UPI00000DF1AD, UniRef:UniRef100_A0A0D6GAR5, UniRef:UniRef50_A0A0P7QDT7, UniRef:UniRef90_A0A0P7QDT7
chromosome	cds	269391	270899	-	LFFONA_00400		Carbohydrate kinase	RefSeq:WP_001468057.1, SO:0001217, UniParc:UPI000281D568, UniRef:UniRef100_UPI000281D568, UniRef:UniRef50_A0A376LD31, UniRef:UniRef90_A0A376LD31
chromosome	cds	270892	272250	-	LFFONA_00401		PTS EIIC type-2 domain-containing protein	KEGG:K02775, RefSeq:WP_001306345.1, SO:0001217, UniParc:UPI0001A671D6, UniRef:UniRef100_A0A0D8VYN0, UniRef:UniRef50_F5RM46, UniRef:UniRef90_A0A4R1N963
chromosome	cds	272327	272608	-	LFFONA_00402		PTS system transporter subunit IIB	RefSeq:WP_000084021.1, SO:0001217, UniParc:UPI0000D50D43, UniRef:UniRef100_A0A376VCC8, UniRef:UniRef50_A0A376VCC8, UniRef:UniRef90_A0A376VCC8
chromosome	cds	272605	273078	-	LFFONA_00403	ptsN	PTS sugar transporter subunit IIA	COG:COG1762, COG:GT, RefSeq:WP_001443177.1, SO:0001217, UniParc:UPI0001E323D3, UniRef:UniRef100_A0A1Y5BZ96, UniRef:UniRef50_A0A4R1N7F5, UniRef:UniRef90_A0A0D7CAA6
chromosome	cds	273103	273849	-	LFFONA_00404		HTH gntR-type domain-containing protein	RefSeq:WP_001304937.1, SO:0001217, UniParc:UPI00019F39FD, UniRef:UniRef100_A0A0V9G495, UniRef:UniRef50_R2R8K0, UniRef:UniRef90_A0A2S4RUV3
chromosome	cds	274048	274449	-	LFFONA_00405	nikE	nickel import ATP-binding protein NikE	COG:COG0864, COG:K, EC:7.2.2.11, GO:0003700, GO:0005524, GO:0005886, GO:0010045, GO:0015413, GO:0015675, GO:0016151, GO:0043190, GO:0043565, KEGG:K07722, RefSeq:WP_001190062.1, SO:0001217, UniParc:UPI0000130181, UniRef:UniRef100_P0A6Z6, UniRef:UniRef50_P0A6Z6, UniRef:UniRef90_P0A6Z6
chromosome	cds	274455	275261	-	LFFONA_00406	nikE	nickel import ATP-binding protein NikE	COG:COG1124, COG:EP, EC:7.2.2.11, GO:0005524, GO:0005886, GO:0015413, GO:0015675, GO:0016151, GO:0016887, GO:0043190, RefSeq:WP_000173679.1, SO:0001217, UniParc:UPI00000DF1A4, UniRef:UniRef100_Q8FCM9, UniRef:UniRef50_P33594, UniRef:UniRef90_P33594
chromosome	cds	275258	276022	-	LFFONA_00407	nikD	nickel import ATP-binding protein NikD	COG:COG0444, COG:EP, EC:7.2.2.-, EC:7.2.2.11, GO:0005524, GO:0005886, GO:0015413, GO:0015675, GO:0016151, GO:0016887, GO:0043190, RefSeq:WP_001136233.1, SO:0001217, UniParc:UPI00000DF1A3, UniRef:UniRef100_Q8FCN0, UniRef:UniRef50_P33593, UniRef:UniRef90_P33593
chromosome	cds	276022	276855	-	LFFONA_00408	nikC	nickel ABC transporter permease subunit NikC	COG:COG1173, COG:EP, EC:7.2.2.-, GO:0005886, GO:0015099, GO:0016020, GO:0016151, GO:0055052, GO:0055085, GO:0071916, GO:0098716, RefSeq:WP_001008953.1, SO:0001217, UniParc:UPI00000DF1A2, UniRef:UniRef100_A0A2G9A6X4, UniRef:UniRef50_P0AFA9, UniRef:UniRef90_P0AFA9
chromosome	cds	276852	277796	-	LFFONA_00409	nikB	nickel ABC transporter permease subunit NikB	COG:COG0601, COG:EP, EC:7.2.2.-, GO:0005886, GO:0015099, GO:0016020, GO:0016151, GO:0055052, GO:0071916, GO:0098716, RefSeq:WP_000947070.1, SO:0001217, UniParc:UPI00000DF1A1, UniRef:UniRef100_A0A0G9FTD1, UniRef:UniRef50_P33591, UniRef:UniRef90_P33591
chromosome	cds	277796	279370	-	LFFONA_00410	nikA	nickel ABC transporter substrate-binding protein	COG:COG0747, COG:E, EC:7.2.2.-, GO:0009897, GO:0015413, GO:0015675, GO:0015833, GO:0016020, GO:0016151, GO:0020037, GO:0030288, GO:0042597, GO:0046914, GO:0050919, GO:0051540, GO:0055052, GO:0098716, GO:1904680, RefSeq:WP_000493122.1, SO:0001217, UniParc:UPI00000E4A8E, UniRef:UniRef100_E2QFY0, UniRef:UniRef50_P33590, UniRef:UniRef90_P33590
chromosome	cds	279481	280068	-	LFFONA_00411	acpT	4'-phosphopantetheinyl transferase AcpT	COG:COG2091, COG:H, EC:2.7.8.7, GO:0000287, GO:0005829, GO:0006633, GO:0008897, GO:0019878, RefSeq:WP_000285789.1, SO:0001217, UniParc:UPI00000DF1A0, UniRef:UniRef100_E2QFX9, UniRef:UniRef50_P37623, UniRef:UniRef90_P37623
chromosome	cds	280123	281172	-	LFFONA_00412	yhhT	Putative transport protein YhhT	GO:0005886, GO:0055085, KEGG:K11744, RefSeq:WP_001297987.1, SO:0001217, UniParc:UPI00005EF4ED, UniRef:UniRef100_A0A0D8W3X2, UniRef:UniRef50_P0AGM0, UniRef:UniRef90_P0AGM0
chromosome	cds	281262	282521	+	LFFONA_00413	yhhS	Uncharacterized MFS-type transporter YhhS	GO:0005886, GO:0022857, SO:0001217, UniParc:UPI00000DF19E, UniRef:UniRef100_Q8FCN5, UniRef:UniRef50_P37621, UniRef:UniRef90_P37621
chromosome	cds	282525	283082	-	LFFONA_00414	dcrB	phage sensitivity protein DcrB	BlastRules:WP_001245295, GO:0005886, KEGG:K27311, RefSeq:WP_001245296.1, SO:0001217, UniParc:UPI00005EF4EF, UniRef:UniRef100_E2QFX6, UniRef:UniRef50_P0AEE1, UniRef:UniRef90_P0AEE1
chromosome	cds	283155	283820	-	LFFONA_00415	yhhQ	7-cyano-7-deazaguanine/7-aminomethyl-7-deazaguanine transporter	COG:COG1738, COG:J, GO:0005886, GO:0022857, GO:0072531, GO:1990397, RefSeq:WP_001100463.1, SO:0001217, UniParc:UPI00000DF19D, UniRef:UniRef100_E2QFX5, UniRef:UniRef50_P37619, UniRef:UniRef90_P37619
chromosome	cds	284041	284286	+	LFFONA_00416	tusA	sulfurtransferase TusA	COG:COG0425, COG:JHO, EC:2.8.1.-, GO:0002143, GO:0005737, GO:0097163, RefSeq:WP_000130621.1, SO:0001217, UniParc:UPI0000110F5D, UniRef:UniRef100_P0A890, UniRef:UniRef50_P0A890, UniRef:UniRef90_P0A890
chromosome	cds	284388	286586	-	LFFONA_00417	zntA	Zn(II)/Cd(II)/Pb(II) translocating P-type ATPase ZntA	COG:COG2217, COG:P, EC:7.2.2.-, EC:7.2.2.12, EC:7.2.2.21, GO:0005215, GO:0005524, GO:0005886, GO:0006812, GO:0008551, GO:0016020, GO:0016463, GO:0016887, GO:0019829, GO:0046872, RefSeq:WP_001468058.1, SO:0001217, UniParc:UPI0002A26C35, UniRef:UniRef100_UPI0002A26C35, UniRef:UniRef50_P37617, UniRef:UniRef90_P37617
chromosome	cds	286660	287286	-	LFFONA_00418	yhhN	Uncharacterized membrane protein YhhN	GO:0005886, GO:0016787, RefSeq:WP_000964718.1, SO:0001217, UniParc:UPI000013B251, UniRef:UniRef100_P0ADI9, UniRef:UniRef50_P0ADI9, UniRef:UniRef90_P0ADI9
chromosome	cds	287427	287786	+	LFFONA_00419	yhhM	Uncharacterized protein YhhM	RefSeq:WP_000042886.1, SO:0001217, UniParc:UPI00000DF19B, UniRef:UniRef100_E2QFX1, UniRef:UniRef50_P37615, UniRef:UniRef90_P37615
chromosome	cds	287789	288058	-	LFFONA_00420	yhhL	DUF1145 domain-containing protein	COG:COG3776, COG:S, KEGG:K08993, RefSeq:WP_001295207.1, SO:0001217, UniParc:UPI00000D0B3E, UniRef:UniRef100_C3SPB2, UniRef:UniRef50_P37614, UniRef:UniRef90_P37614
chromosome	cds	288048	288644	-	LFFONA_00421	rsmD	16S rRNA (guanine(966)-N(2))-methyltransferase	COG:COG0742, COG:J, EC:2.1.1.171, GO:0003676, GO:0008168, GO:0031167, GO:0052913, GO:0070475, KEGG:K08316, RefSeq:WP_000743189.1, SO:0001217, UniParc:UPI00005EF4F1, UniRef:UniRef100_A0A066T4W3, UniRef:UniRef50_P0ADX9, UniRef:UniRef90_P0ADX9
chromosome	cds	288794	290290	+	LFFONA_00422	ftsY	signal recognition particle-docking protein FtsY	COG:COG0552, COG:U, EC:3.6.5.4, GO:0003924, GO:0005047, GO:0005525, GO:0005829, GO:0005886, GO:0006605, GO:0006614, GO:0009306, GO:0009898, GO:0015968, GO:0016887, GO:0042803, KEGG:K03110, RefSeq:WP_001040640.1, SO:0001217, UniParc:UPI0001FB4745, UniRef:UniRef100_A0AAN5K337, UniRef:UniRef50_P10121, UniRef:UniRef90_P10121
chromosome	cds	290293	290961	+	LFFONA_00423	ftsY	signal recognition particle-docking protein FtsY	COG:COG2884, COG:D, GO:0003924, GO:0005047, GO:0005524, GO:0005886, GO:0006614, GO:0009306, GO:0016887, GO:0022857, GO:0051301, KEGG:K03110, RefSeq:WP_000617723.1, SO:0001217, UniParc:UPI000012ACC2, UniRef:UniRef100_P0A9R7, UniRef:UniRef50_P0A9R7, UniRef:UniRef90_P0A9R7
chromosome	cds	290954	292012	+	LFFONA_00424	ftsX	permease-like cell division protein FtsX	COG:COG2177, COG:D, GO:0000910, GO:0005886, GO:0009276, GO:0032153, GO:0051301, RefSeq:WP_001042003.1, SO:0001217, UniParc:UPI000012ACFE, UniRef:UniRef100_P0AC30, UniRef:UniRef50_P0AC30, UniRef:UniRef90_P0AC30
chromosome	cds	292257	293111	+	LFFONA_00425	rpoH	RNA polymerase sigma factor RpoH	COG:COG0568, COG:K, GO:0000345, GO:0001000, GO:0001046, GO:0001216, GO:0003677, GO:0003700, GO:0005829, GO:0005886, GO:0006310, GO:0006351, GO:0006352, GO:0006355, GO:0009009, GO:0009408, GO:0010468, GO:0016987, GO:0031421, GO:2000142, RefSeq:WP_000130217.1, SO:0001217, UniParc:UPI0000134562, UniRef:UniRef100_P0AGB3, UniRef:UniRef50_P0AGB3, UniRef:UniRef90_P0AGB3
chromosome	cds	293215	294099	-	LFFONA_00426		4-hydroxy-tetrahydrodipicolinate synthase	RefSeq:WP_000661262.1, SO:0001217, UniParc:UPI00001A9E92, UniRef:UniRef100_Q7X387, UniRef:UniRef50_A0A410QF32, UniRef:UniRef90_Q7X387
chromosome	cds	294099	295019	-	LFFONA_00427		Phosphoglycerate dehydrogenase	RefSeq:WP_001332164.1, SO:0001217, UniParc:UPI0000043B16, UniRef:UniRef100_Q7X388, UniRef:UniRef50_Q7X388, UniRef:UniRef90_Q7X388
chromosome	cds	295021	295875	-	LFFONA_00428		Mannose permease IID component	KEGG:K17467, RefSeq:WP_000368745.1, SO:0001217, UniParc:UPI0000043B17, UniRef:UniRef100_A0A0D8W0M5, UniRef:UniRef50_A0A2B7LT79, UniRef:UniRef90_A0A2B7LT79
chromosome	cds	295868	296614	-	LFFONA_00429		PTS sugar transporter subunit IIC	KEGG:K17466, RefSeq:WP_000021882.1, SO:0001217, UniParc:UPI00001A9E90, UniRef:UniRef100_Q7X390, UniRef:UniRef50_Q7X390, UniRef:UniRef90_Q7X390
chromosome	cds	296631	297116	-	LFFONA_00430		PTS mannose/fructose/sorbose transporter subunit IIB	RefSeq:WP_000029256.1, SO:0001217, UniParc:UPI00001A9E8F, UniRef:UniRef100_Q7X391, UniRef:UniRef50_A0A7Z8E003, UniRef:UniRef90_A0A7Z8E003
chromosome	cds	297123	297524	-	LFFONA_00431		PTS EIIA type-4 domain-containing protein	EC:2.7.1.203, KEGG:K17464, RefSeq:WP_001071333.1, SO:0001217, UniParc:UPI000188663A, UniRef:UniRef100_A0A0D8VYR1, UniRef:UniRef50_A0A0H2Z3I0, UniRef:UniRef90_A0A0H2Z3I0
chromosome	cds	298459	299562	+	LFFONA_00432	livJ	branched chain amino acid ABC transporter substrate-binding protein LivJ	BlastRules:WP_001021996, COG:COG0683, COG:E, GO:0015803, GO:0015818, GO:0015820, GO:0015829, GO:0016020, GO:0030288, GO:0055052, RefSeq:WP_001022000.1, SO:0001217, UniParc:UPI000281D5D8, UniRef:UniRef100_A0A7G6K8V0, UniRef:UniRef50_P0AD96, UniRef:UniRef90_P0AD96
chromosome	cds	299750	300133	-	LFFONA_00433	panM	aspartate 1-decarboxylase autocleavage activator PanM	GO:0008080, GO:0015940, GO:0031638, RefSeq:WP_000778796.1, SO:0001217, UniParc:UPI0000D50D35, UniRef:UniRef100_A0A066SWU7, UniRef:UniRef50_P37613, UniRef:UniRef90_A0A066SWU7
chromosome	cds	300557	301666	+	LFFONA_00434	livK	high-affinity branched-chain amino acid ABC transporter substrate-binding protein LivK	BlastRules:WP_000822976, COG:COG0683, COG:E, GO:0006865, GO:0042597, RefSeq:WP_001468059.1, SO:0001217, UniParc:UPI000281D5D9, UniRef:UniRef100_UPI000281D5D9, UniRef:UniRef50_P0AD96, UniRef:UniRef90_P04816
chromosome	cds	301714	302640	+	LFFONA_00435	livH	high-affinity branched-chain amino acid ABC transporter permease LivH	COG:COG0559, COG:E, EC:7.4.2.2, GO:0005304, GO:0005886, GO:0015188, GO:0015190, GO:0015192, GO:0015808, GO:0015823, GO:0016020, GO:0022857, GO:0042941, GO:0055085, GO:1903785, GO:1903801, GO:1903806, RefSeq:WP_001295101.1, SO:0001217, UniParc:UPI0000D50D32, UniRef:UniRef100_B7MDU1, UniRef:UniRef50_P0AEX7, UniRef:UniRef90_P0AEX7
chromosome	cds	302637	303914	+	LFFONA_00436	livM	branched chain amino acid ABC transporter permease LivM	BlastRules:WP_000803813, EC:7.4.2.2, RefSeq:WP_000803795.1, SO:0001217, UniParc:UPI000281D5DA, UniRef:UniRef100_UPI000281D5DA, UniRef:UniRef50_P22729, UniRef:UniRef90_UPI000281D5DA
chromosome	cds	303911	304678	+	LFFONA_00437	livG	high-affinity branched-chain amino acid ABC transporter ATP-binding protein LivG	BlastRules:WP_000082101, COG:COG0411, COG:E, EC:7.4.2.2, GO:0005524, RefSeq:WP_000082102.1, SO:0001217, UniParc:UPI000281D5DB, UniRef:UniRef100_A0A400NTQ9, UniRef:UniRef50_P21629, UniRef:UniRef90_A0A1V2BNM7
chromosome	cds	304680	305393	+	LFFONA_00438	livF	high-affinity branched-chain amino acid ABC transporter ATP-binding protein LivF	COG:COG0410, COG:E, EC:7.4.2.2, GO:0005524, GO:0015658, GO:0015807, GO:0016887, RefSeq:WP_000416895.1, SO:0001217, UniParc:UPI000018FB34, UniRef:UniRef100_C3SPH2, UniRef:UniRef50_P22731, UniRef:UniRef90_P22731
chromosome	cds	305790	307106	+	LFFONA_00439	ugpB	sn-glycerol-3-phosphate ABC transporter substrate-binding protein UgpB	COG:COG1653, COG:G, EC:7.6.2.-, GO:0030288, GO:0055085, KEGG:K05813, RefSeq:WP_000803580.1, SO:0001217, UniParc:UPI00000E4A8A, UniRef:UniRef100_Q8CVL9, UniRef:UniRef50_P0AG80, UniRef:UniRef90_P0AG80
chromosome	cds	307204	308091	+	LFFONA_00440	ugpA	sn-glycerol-3-phosphate ABC transporter permease UgpA	COG:COG1175, COG:G, EC:7.6.2.-, GO:0005886, GO:0055085, RefSeq:WP_016238583.1, SO:0001217, UniParc:UPI00033542A1, UniRef:UniRef100_UPI00033542A1, UniRef:UniRef50_P10905, UniRef:UniRef90_P10905
chromosome	cds	308088	308933	+	LFFONA_00441	ugpE	sn-glycerol-3-phosphate ABC transporter permease UgpE	COG:COG0395, COG:G, EC:7.6.2.-, GO:0005886, GO:0015169, GO:0015794, GO:0016020, GO:0055052, GO:1902517, RefSeq:WP_000572183.1, SO:0001217, UniParc:UPI00000DF190, UniRef:UniRef100_A1AGY2, UniRef:UniRef50_P10906, UniRef:UniRef90_P10906
chromosome	cds	308935	310005	+	LFFONA_00442	ugpC	sn-glycerol 3-phosphate ABC transporter ATP binding protein UgpC	BlastRules:WP_000907792, COG:COG3839, COG:G, EC:7.6.2.-, EC:7.6.2.10, GO:0001407, GO:0005524, GO:0008643, GO:0015430, GO:0016887, GO:0055052, RefSeq:WP_000907821.1, SO:0001217, UniParc:UPI0001DC5356, UniRef:UniRef100_A0A2S8JS04, UniRef:UniRef50_P10907, UniRef:UniRef90_P10907
chromosome	cds	310002	310745	+	LFFONA_00443	ugpQ	glycerophosphodiester phosphodiesterase	EC:3.1.4.46, GO:0000287, GO:0005737, GO:0006071, GO:0006629, GO:0008081, GO:0008889, GO:0047389, GO:0047395, KEGG:K01126, RefSeq:WP_000073603.1, SO:0001217, UniParc:UPI0000D50D2E, UniRef:UniRef100_A0A0D8W141, UniRef:UniRef50_P10908, UniRef:UniRef90_P10908
chromosome	cds	310732	311172	-	LFFONA_00444	yhhA	DUF2756 domain-containing protein	RefSeq:WP_000826133.1, SO:0001217, UniParc:UPI00005EF6DF, UniRef:UniRef100_E2QFV2, UniRef:UniRef50_P0ADX7, UniRef:UniRef90_P0ADX7
chromosome	cds	311292	313025	+	LFFONA_00445	ggt	gamma-glutamyltransferase	COG:COG0405, COG:E, EC:2.3.2.2, EC:3.4.19.13, GO:0006750, GO:0006751, GO:0030288, GO:0034722, GO:0036374, GO:0042597, GO:0043102, GO:0097264, GO:0103068, RefSeq:WP_016238582.1, SO:0001217, UniParc:UPI0003372DBB, UniRef:UniRef100_UPI00207BE9E8, UniRef:UniRef50_P18956, UniRef:UniRef90_P18956
